Keysight E1733A String Table
TradChn

[1],Linear,線性
[3154],Select the display mode of the environmental parameters,選擇環境參數的顯示方式
[3155],Display data in the graph,在圖表中顯示數據資料
[3156],Graphical analysis options,圖表分析選項
[3157],Data analysis options,數據資料分析選項
[3158],Select to display the slope of the fitting line,顯示經計算後的斜率縣
[3159],Select measurement standard,選擇量測標準
[3160],Unselect to cancel the modification for the standard,反選時取消對標準值的修改
[3161],Enter the name of the operator for the operation,輸入完成本次量測的操作員姓名
[3162],Enter the location of the measurement,輸入本次量測的地點
[3163],Enter the name of the machine,輸入被測機台的名稱
[3164],Enter the type of the machine,輸入被測機台的機型
[3165],Enter the serial number of the machine,輸入被測機台的序號
[3166],Enter the model number of the machine,輸入被測機台的型號
[3167],Enter the property number of the machine,輸入被測機台的財產編號
[3168],Enter the calibration date,輸入檢驗日期
[3169],The file name for the saved settings,儲存量測設定的文件名
[3170],Enter other notes to be saved,輸入其他需要被儲存的訊息
[3171],Enter the type of the device to be measured,輸入被測的設備資訊
[3172],Enter the compensation method for the device to be measured,輸入被測設備的補償方法
[3173],Enter the feed speed for the measurement,輸入量測中的進給速度
[3174],Enter the dwell time for the object at each position,輸入量測中每個目標位置的停留時間
[3175],Enter the thermal coefficient of the device to be measured,輸入被測物的熱膨脹係數
[3176],Select if NDE correction is used,選擇是否採用NDE修正
[3177],Enter the name and serial number of the instrument used for the measurement,輸入進行本次量測的設備名稱與序號
[3178],Enter the locations of the axes not used in the calibration,輸入本次未量測軸向的座標位置
[3179],Enter the reference bias of the tool in X direction,輸入X方向的刀具偏移量
[3180],Enter the reference bias of the device in X direction,輸入X方向的工件偏移量
[3181],Enter the reference bias of the tool in Y direction,輸入Y方向的刀具偏移量
[3182],Enter the reference bias of the tool in Y direction,輸入Z方向的刀具偏移量
[3183],Enter the reference bias of the device in Y direction,輸入Y方向的工件偏移量
[3184],Enter the reference bias of the device in Y direction,輸入Z方向的工件偏移量
[3185],Enter the coordinate of the material sensor 1,輸入第1個材料感測器的放置地點
[3186],Enter the coordinate of the material sensor 2,輸入第2個材料感測器的放置地點
[3187],Enter the coordinate of the air sensor,輸入空氣感測器的放置位置
[3188],Enter the coordinate of the material sensor 3,輸入第3個材料感測器的放置地點
[3189],The update time of the sensor data in the compensation program,補償程序中感測器的更新頻率
[3190],Enter the maximum difference between the environmental temperature and 20 degree C during the measurement,輸入本次量測中環境溫度與20度的最大差值
[3191],Enter the maximum error of the material sensors used during the measurement,輸入本次量測中使用材料感測器的最大差值
[3192],The maximum length of the measurement,本次量測中的最大長度
[3193],The error range of the instruments used in the measurement,本次量測所使用的儀器的誤差範圍
[3194],Enter the estimated error from the optic alignment in the measurement,輸入本次量測中光路校準誤差的估計值
[3195],Enter the uncertainty of the expansion coefficient in the measurement,輸入本次量測中熱膨脹係數的不確定度
[3196],Enter the estimated error from the change of the environmental parameters in the measurement,輸入本次量測中由環境參數變動所引起的誤差估計值
[3197],Select if the instruments used in the measurement are calibrated,選擇本次量測的設備是否經過校驗
[3198],Select the serial number of the E1735A for the second axis,選擇量測第2軸所用的E1735A的序號
[3199],Select the serial number of the E1736A for the second axis,選擇量測第2軸所用的E1736A的序號
[3200],Select the serial number of the E1735A for the first axis,選擇量測第1軸所用的E1735A的序號
[3201],Select the serial number of the E1736A for the first axis,選擇量測第1軸所用的E1736A的序號
[3202],Display help information when the mouse cursor moves over an item,
[3203],Leave extra margin on selected side of paper,

[4001],Click to start linear measurement |Calibrate the accuracy of a linear guide,單擊開始進行線性量測 | 量測直線運動軸的定位精度
