Keysight E1733A String Table
English

[3091],Select the direction of the measurement on the axis,Select the direction of the measurement on the axis
[3092],Enter the foot spacing of the measurement accessory,Enter the foot spacing of the measurement accessory
[3093],The length of the guide under test |depends on the number of the stops and the foot spacing  ,The length of the guide under test |depends on the number of the stops and the foot spacing  
[3094],Number of stops for the measurement,Number of stops for the measurement
[3095],Distance between the target positions,Distance between the target positions
[3096],The first target position,The first target position
[3097],The last target position,The last target position
[3098],Number of target positions in one travel range,Number of target positions in one travel range
[3099],Data not available,Data not available
[3100],Select to enable user defined target position,Select to enable user defined target position
[3101],Select measurement travel direction,Select measurement travel direction
[3102],Select direction and sequence of approaching each target positions,Select direction and sequence of approaching each target positions
[3103],Enter the name of the target axis,Enter the name of the target axis
[3104],Repetition number of the measurement cycles for the second axis,Repetition number of the measurement cycles for the second axis
[3105],Select direction and sequence of approaching each target position on the second axis,Select direction and sequence of approaching each target position on the second axis
[3106],Enter the name of the target axis for the second axis,Enter the name of the target axis for the second axis
[3107],Delay time of the sampling after the object moves inside the target window ,Delay time of the sampling after the object moves inside the target window 
[3108],Enter the resolution of the encoder,Enter the resolution of the encoder
[3109],Select sampling trigger method,Select sampling trigger method
[3110],Sampling by time,Sampling by time
[3111],Enter target window number |Auto sampling happens after the dwell time since the object moves inside of the target window,Enter target window number |Auto sampling happens after the dwell time since the object moves inside of the target window
[3112],Select encoder output format,Select encoder output format
[3113],Select the display accuracy of the data |It will affect accuracy of the  data in the data table and the saved file,Select the display accuracy of the data |It will affect accuracy of the  data in the data table and the saved file
[3114],Select the displayed unit of the error value,Select the displayed unit of the error value
[3115],Select the displayed unit of the position value,Select the displayed unit of the position value
[3116],Select the type of the parallelism measurement,Select the type of the parallelism measurement
[3117],Enter the error of the optical square,Enter the error of the optical square
[3118],Enter the value of the dead path,Enter the value of the dead path
[3119],Rotary table resolution,Rotary table resolution
[3120],User defined reset position,User defined reset position
[3121],Select average measurement time |Shorter average time will increase the measurement response speed |Longer average time will reduce the influence of the air turbulence,Select average measurement time |Shorter average time will increase the measurement response speed |Longer average time will reduce the influence of the air turbulence
[3122],Select the type of linear measurement optics,Select the type of linear measurement optics
[3123],Trigger sampling when the object stays in the start or end position for more than specified time ,Trigger sampling when the object stays in the start or end position for more than specified time 
[3124],Allow user to enter target position value when doing manual sampling,Allow user to enter target position value when doing manual sampling
[3125],Use extended resolution |It will increase measurement accuracy but reduce sampling speed,Use extended resolution |It will increase measurement accuracy but reduce sampling speed
[3126],Target position interval for the second axis,Target position interval for the second axis
[3127],The first target position for the second axis,The first target position for the second axis
[3128],The last target position for the second axis,The last target position for the second axis
[3129],The number of the target positions in one travel range for the second axis ,The number of the target positions in one travel range for the second axis 
[3130],Data not available,Data not available
[3131],Select to enable user defined target position for the second axis,Select to enable user defined target position for the second axis
[3132],Enter X-axis scale,Enter X-axis scale
[3133],Enter Y-axis scale,Enter Y-axis scale
[3134],Enter Z-axis scale,Enter Z-axis scale
[3135],Calculated angle Alpha value,Calculated angle Alpha value
[3136],Calculated angle Beta value,Calculated angle Beta value
[3137],Calculated diagonal length,Calculated diagonal length
[3138],Enter sampling time interval,Enter sampling time interval
[3139],Start sampling when the object passes the designated position (both directions),Start sampling when the object passes the designated position (both directions)
[3140],Select to enable sampling mode,Select to enable sampling mode
[3141],Advanced setup,Advanced setup
